player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Nate Thompson,77813,S,DUKE,5,0,,,100.0,,,0,0,0,,154,62.9,69.0,71.3,,71.0,78.4,0,,,0,0,0,0.0,0,11,11,0,0,0,0,0,0,0.0,
Malik Dunlap,77814,CB,NC STATE,8,0,17.2,53.3,97.4,9.1,4.8,0,1,8,26.7,248,49.6,51.1,83.3,72.9,53.6,54.5,0,59,25.0,3,4,1,95.1,16,149,153,1,9,30,1,270,75,1.9,16.9
Tyler Baker-Williams,77815,CB,NC STATE,12,2,8.9,51.9,91.9,18.7,9.7,0,0,5,18.5,248,78.1,73.1,47.9,57.6,63.1,68.4,0,27,4.8,1,3,1,74.9,14,273,297,10,18,27,1,112,37,0.4,8.0
Kevin Brennan,77819,S,NAVY,13,3,14.3,60.9,97.4,12.9,7.8,0,0,4,8.7,237,41.5,51.4,17.3,70.2,70.6,62.0,2,70,28.6,8,4,2,117.8,28,372,382,4,17,46,7,480,185,1.3,17.1
Kendarin Ray,77823,S,TULSA,10,0,18.6,60.0,100.0,26.7,16.0,0,1,1,20.0,320,67.9,77.9,80.5,,87.2,89.0,0,49,0.0,0,1,0,104.2,3,92,92,0,5,5,0,64,13,0.8,21.3
Bryson Powers,77824,S,TULSA,10,0,10.7,66.7,100.0,49.0,32.7,0,0,0,0.0,320,53.8,59.9,80.8,,74.5,64.0,0,14,25.0,1,0,0,95.1,2,108,108,0,3,3,0,27,9,0.3,13.5
Daiquain Jackson,77826,S,TULSA,5,0,16.0,0.0,100.0,,10.0,0,0,0,0.0,320,57.4,57.8,72.3,,60.0,73.1,0,,0.0,0,0,0,39.6,0,11,11,0,1,1,0,0,0,0.0,
Brandon Johnson,77827,CB,TULSA,12,2,16.2,62.1,100.0,8.8,5.5,1,0,3,5.2,320,41.5,49.4,53.5,,75.6,79.4,0,90,7.3,3,2,5,128.9,36,344,344,9,36,58,5,645,192,2.0,17.9
Michael Salerno,77828,S,SMU,1,0,23.0,100.0,100.0,4.0,4.0,0,0,0,0.0,287,49.7,40.1,0.0,,,22.2,0,37,100.0,1,0,1,118.8,1,4,4,0,0,1,0,37,14,9.3,37.0
Larry Brooks,77832,S,TULANE,12,1,11.9,42.9,98.8,12.8,5.5,0,1,5,17.9,319,68.0,63.8,85.9,46.6,52.8,40.1,4,37,35.0,7,3,2,20.1,12,163,165,1,12,28,0,147,61,1.0,12.3
Grant Hamel,77833,CB,TULANE,1,0,,,100.0,,,0,0,0,,319,61.8,61.8,69.4,,59.8,,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Macon Clark,77834,S,TULANE,11,1,8.2,54.5,99.0,16.7,9.1,0,1,1,9.1,319,70.8,61.5,0.0,59.9,41.1,41.8,1,35,0.0,0,1,1,72.5,6,103,104,4,7,11,1,86,43,0.9,14.3
Patrick Fields,77835,S,OKLAHOMA,14,1,10.0,63.6,98.2,21.2,13.5,0,0,6,18.2,261,71.0,73.4,26.0,73.5,75.8,77.7,0,39,13.3,4,6,5,95.4,21,482,491,6,25,33,1,239,75,0.5,11.4
Delarrin Turner-Yell,77836,CB,OKLAHOMA,13,3,10.2,58.3,99.3,13.7,8.0,0,0,3,6.3,261,64.3,58.7,21.1,81.6,42.3,54.7,0,78,13.3,6,2,3,110.4,28,421,424,9,36,48,3,448,205,1.2,16.0
JT Woods,77837,S,BAYLOR,14,1,14.5,76.2,98.3,17.1,13.0,0,0,1,4.8,118,53.9,50.0,39.3,50.9,44.8,36.0,0,34,25.0,5,0,1,144.3,16,283,288,3,14,21,2,237,51,0.9,14.8
Christian Morgan,77838,S,BAYLOR,9,2,10.3,50.0,89.7,25.0,12.5,0,0,0,0.0,118,57.9,52.1,76.7,55.5,44.6,34.3,0,26,25.0,2,0,0,76.0,2,52,58,2,4,4,0,31,0,0.6,15.5
Colby Delashaw,77839,S,BAYLOR,1,1,,,100.0,,,0,0,0,,118,64.6,64.2,69.5,,60.0,76.4,0,,0.0,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Kanion Williams,77840,S,OKLA STATE,2,1,7.0,0.0,88.9,,15.0,0,0,1,100.0,262,71.8,72.6,74.7,59.5,67.1,80.4,0,,0.0,0,1,0,39.6,0,16,18,0,0,1,0,0,0,0.0,
Jarrick Bernard-Converse,77841,CB,OKLA STATE,13,3,11.2,58.7,97.0,11.7,6.9,0,0,6,9.5,262,61.7,66.2,59.1,73.3,76.3,81.2,1,73,8.1,3,5,1,111.4,37,456,470,13,31,63,6,533,186,1.2,14.4
